join,codice,st,t_ele,f_elet,dt_ele,l_terr,area,cod_com,desc_com,cod_prov,desc_prov,ele_m,ele_f,ele_t,vot_m,vot_f,vot_t,perc_vot,sz_perv,sz_tot,fine_rip,sk_bianche,sk_nulle,sk_contestate,tot_vot_lis,non_valid,dt_agg,data_prec_elez,circ_sto,reg_sto,prov_sto,comu_sto,tipo_tras,NR.,DESCRIZIONE COMUNE,SIGLA,CODICE ELETTORALE,CODICE ISTAT,CODICE BELFIORE,pref_silvia,pref_marcello,dati_presenti
840230,2050840230,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,230,CORNUDA,84,TREVISO,2710,2946,5656,1489,1556,3045,"53,84",6,6,N,98,113,0,2834,,20240610045633.0,20190526000000.0,2.0,5.0,84.0,230.0,SZ,2325,CORNUDA,TV,1050840230,26023,D030,5,1,1
680200,2080680200,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,200,CORREGGIO,68,REGGIO NELL' EMILIA,9653,9827,19480,5504,5775,11279,"57,90",19,19,N,80,227,0,10972,,20240610045450.0,20190526000000.0,2.0,8.0,68.0,200.0,SZ,2326,CORREGGIO,RE,1080680200,35020,D037,65,21,1
540350,2050540350,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,350,CORREZZOLA,54,PADOVA,2323,2281,4604,1359,1260,2619,"56,89",6,6,N,88,101,0,2430,,20240610010917.0,20190526000000.0,2.0,5.0,54.0,350.0,SZ,2328,CORREZZOLA,PD,1050540350,28035,D040,1,0,1
140210,2040140210,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,210,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,14,BOLZANO,894,898,1792,486,550,1036,"57,81",2,2,N,23,30,0,983,,20240610023249.0,20190526000000.0,2.0,4.0,14.0,210.0,CO,2335,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,BZ,1040140210,21024,D048,0,0,1
610170,2080610170,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,170,CORTE BRUGNATELLA,61,PIACENZA,248,244,492,129,106,235,"47,76",1,1,N,3,6,0,226,,20240610002409.0,20190526000000.0,2.0,8.0,61.0,170.0,SZ,2340,CORTE BRUGNATELLA,PC,1080610170,33017,D054,0,0,1
610180,2080610180,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,180,CORTEMAGGIORE,61,PIACENZA,1736,1700,3436,848,816,1664,"48,43",5,5,N,5,46,0,1613,,20240610020215.0,20190526000000.0,2.0,8.0,61.0,180.0,SZ,2345,CORTEMAGGIORE,PC,1080610180,33018,D061,3,2,1
100160,2050100160,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,160,CORTINA D'AMPEZZO,10,BELLUNO,2309,2580,4889,964,1118,2082,"42,59",6,6,N,25,52,0,2005,,20240610014039.0,20190526000000.0,2.0,5.0,10.0,160.0,SZ,2352,CORTINA D'AMPEZZO,BL,1050100160,25016,A266,1,0,1
140220,2040140220,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,220,CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,14,BOLZANO,260,263,523,153,165,318,"60,80",1,1,N,5,18,0,295,,20240610010724.0,20190526000000.0,2.0,4.0,14.0,220.0,CO,2353,CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,BZ,1040140220,21025,D075,0,0,1
140230,2040140230,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,230,CORVARA IN BADIA/CORVARA,14,BOLZANO,544,558,1102,246,252,498,"45,19",1,1,N,8,13,0,477,,20240610004402.0,20190526000000.0,2.0,4.0,14.0,230.0,CO,2357,CORVARA IN BADIA/CORVARA,BZ,1040140230,21026,D079,0,0,1
850310,2060850310,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,310,COSEANO,85,UDINE,925,973,1898,612,604,1216,"64,07",3,3,N,46,55,0,1115,,20240610053340.0,20190526000000.0,2.0,6.0,85.0,310.0,SZ,2360,COSEANO,UD,1060850310,30031,D085,0,0,1
710180,2050710180,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,180,COSTA DI ROVIGO,71,ROVIGO,1007,1079,2086,733,776,1509,"72,34",3,3,N,61,59,0,1389,,20240610044851.0,20190526000000.0,2.0,5.0,71.0,180.0,CO,2375,COSTA DI ROVIGO,RO,1050710180,29018,D105,0,0,1
900350,2050900350,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,350,COSTABISSARA,90,VICENZA,3057,3169,6226,1558,1586,3144,"50,50",7,7,N,23,57,0,3064,,20240610045052.0,20190526000000.0,2.0,5.0,90.0,350.0,CO,2381,COSTABISSARA,VI,1050900350,24035,D107,12,5,1
890300,2050890300,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,300,COSTERMANO SUL GARDA,89,VERONA,1613,1642,3255,1264,1220,2484,"76,31",3,3,N,114,86,0,2284,,20240610045021.0,20190526000000.0,2.0,5.0,89.0,300.0,CO,2385,COSTERMANO SUL GARDA,VR,1050890300,23030,D118,1,2,1
660090,2080660090,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,90,COTIGNOLA,66,RAVENNA,2907,3037,5944,1732,1807,3539,"59,54",7,7,N,55,125,0,3359,,20240610054655.0,20190526000000.0,2.0,8.0,66.0,90.0,SZ,2388,COTIGNOLA,RA,1080660090,39009,D121,8,3,1
900360,2050900360,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,360,CREAZZO,90,VICENZA,4541,4807,9348,2754,2916,5670,"60,65",10,10,N,129,153,0,5388,,20240610051045.0,20190526000000.0,2.0,5.0,90.0,360.0,CO,2399,CREAZZO,VI,1050900360,24036,D136,7,5,1
900370,2050900370,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,370,CRESPADORO,90,VICENZA,550,527,1077,269,265,534,"49,58",3,3,N,3,23,0,508,,20240610013351.0,20190526000000.0,2.0,5.0,90.0,370.0,CO,2412,CRESPADORO,VI,1050900370,24037,D156,0,0,1
710190,2050710190,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,190,CRESPINO,71,ROVIGO,803,819,1622,477,468,945,"58,26",2,2,N,37,50,0,858,,20240610044941.0,20190526000000.0,2.0,5.0,71.0,190.0,CO,2415,CRESPINO,RO,1050710190,29019,D161,0,0,1
130240,2080130240,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,240,CREVALCORE,13,BOLOGNA,5220,5345,10565,3370,3493,6863,"64,96",14,14,N,163,212,0,6488,,20240610045015.0,20190526000000.0,2.0,8.0,13.0,240.0,CO,2418,CREVALCORE,BO,1080130240,37024,D166,20,9,1
840250,2050840250,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,250,CROCETTA DEL MONTELLO,84,TREVISO,2883,2900,5783,1473,1515,2988,"51,67",6,6,N,99,95,0,2794,,20240610054621.0,20190526000000.0,2.0,5.0,84.0,250.0,SZ,2424,CROCETTA DEL MONTELLO,TV,1050840250,26025,C670,1,1,1
830640,2040830640,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,640,CROVIANA,83,TRENTO,281,288,569,147,162,309,"54,31",1,1,N,4,5,0,300,,20240610025022.0,20190526000000.0,2.0,4.0,83.0,640.0,SZ,2434,CROVIANA,TN,1040830640,22068,D188,0,0,1
140240,2040140240,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,240,CURON VENOSTA/GRAUN IM VINSCHGAU,14,BOLZANO,1018,954,1972,467,437,904,"45,84",4,4,N,17,23,0,864,,20240610000034.0,20190526000000.0,2.0,4.0,14.0,240.0,CO,2460,CURON VENOSTA/GRAUN IM VINSCHGAU,BZ,1040140240,21027,D222,0,0,1
540360,2050540360,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,360,CURTAROLO,54,PADOVA,2927,2972,5899,1855,1860,3715,"62,98",7,7,N,86,128,0,3501,,20240610045126.0,20190526000000.0,2.0,5.0,54.0,360.0,SZ,2462,CURTAROLO,PD,1050540360,28036,D226,1,1,1
830670,2040830670,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,670,DAMBEL,83,TRENTO,201,186,387,95,92,187,"48,32",1,1,N,4,4,0,179,,20240610005239.0,20190526000000.0,2.0,4.0,83.0,670.0,SZ,2477,DAMBEL,TN,1040830670,22071,D246,1,2,1
